Designação,Nome,Endereço,Bairro,CRE,Atividade,Telefones,Link cartela,GlobalID,Data_Inauguracao,Designacao_num,Nome_abrev,Cod_microarea_SME
918823,Espaço de Desenvolvimento Infantil Professor Dersu Gabriel Bicego,Rua Dario de Paula Coelho s/n,Campo Grande,9,Espaço de Desenvolvimento Infantil - EDI,,,{13B79399-133F-4B02-8E9F-D728ADF33088},22/09/2015 21:00,918.823,EDI Profº Dersu Gabriel Bicego,9.7
313802,Espaço de Desenvolvimento Infantil Anísio Teixeira,"Avenida João Ribeiro, 389",Pilares,3,Espaço de Desenvolvimento Infantil - EDI,,,{2CE2A4F1-1133-4613-ACC8-D4839738709C},30/12/2012 22:00,313.802,EDI Anísio Teixeira,3.9
411802,Espaço de Desenvolvimento Infantil Joel Luiz de Azevedo Bastos,Rua Maturacá SN,Penha Circular,4,Espaço de Desenvolvimento Infantil - EDI,,,{C55D9509-3939-4BC8-9ADD-E8D7A17A79F8},30/12/2012 22:00,411.802,EDI Joel Luiz de Azevedo Bastos,4.19
1019810,Espaço de Desenvolvimento Infantil Rosele Nicolau Jorge Coutinho,"Rua Mauricio Caldeira de Alvarenga, s/n",Santa Cruz,10,Espaço de Desenvolvimento Infantil - EDI,,,{BD2D03BA-7DF8-460A-BAA5-1F119DACD842},30/12/2014 22:00,1.019.810,EDI Rosele Nicolau Jorge Coutinho,10.12
918806,Espaço de Desenvolvimento Infantil Comendador Serafim Sofia,Rua Mangas esquina com Rua Framboesa,Cosmos,9,Espaço de Desenvolvimento Infantil - EDI,,,{B9499847-0882-48A6-97FD-4857BA25ACF9},30/12/2012 22:00,918.806,EDI Comendador Serafim Sofia,9.13
1019804,Espaço de Desenvolvimento Infantil Professora Maria Luiza Jobim de Queiroz,"Rua José Fernandes, SN",Sepetiba,10,Espaço de Desenvolvimento Infantil - EDI,,,{67F97553-8A8A-4B01-B0E2-CFD3201BB9E2},30/12/2012 22:00,1.019.804,EDI Profª Mª Luiza Jobim de Queiroz,10.23
817814,Espaço de Desenvolvimento Infantil Professora Giovana Bansi,Rua Narandiba (prómimo à R.Mucuripi – Viegas),Senador Camará,8,Espaço de Desenvolvimento Infantil - EDI,,,{8BB825B3-F2C5-417B-884E-59EAD11A7DE2},30/12/2013 22:00,817.814,EDI Profº Giovana Bansi,8.11
411803,Espaço de Desenvolvimento Infantil Maria de Lourdes Ferreira,Avenida Lobo Junior,Penha Circular,4,Espaço de Desenvolvimento Infantil - EDI,,,{54094C04-FCEB-484B-B235-75DED4C2B5AC},30/12/2012 22:00,411.803,EDI Mª de Lourdes Ferreira,4.19
410805,Espaço de Desenvolvimento Infantil Compositor Neoci Dias de Andrade,Rua Antonio Rego 383,Olaria,4,Espaço de Desenvolvimento Infantil - EDI,,,{AA8FB34C-A4A3-4D9C-91AF-D6BBEA7E7D2E},30/12/2012 22:00,410.805,EDI Compositor Neoci Dias de Andrade,4.15
918814,Espaço de Desenvolvimento Infantil Professor Nestor Manoel Pinto,Avenida Benedito da Motta e Ruas Sílvio Leitão e Alberto Cabaleiro,Campo Grande,9,Espaço de Desenvolvimento Infantil - EDI,,,{9AF55AC6-5364-49AE-997A-B2901CD4112C},30/12/2013 22:00,918.814,EDI Prof° Nestor Manoel Pinto,9.17
209803,Espaço de Desenvolvimento Infantil Professora Suely de Pinho Cavalcante,Rua Armando Albuquerque,Vila Isabel,2,Espaço de Desenvolvimento Infantil - EDI,,,{7B5DFF9D-6611-41D4-ABA1-7C4D461BF748},30/12/2013 22:00,209.803,EDI Profª Suely de Pinho Cavalcante,2.17
724801,Espaço de Desenvolvimento Infantil Milena Santos Nascimento,Rua Teotônio Vilela com Rua Gilberto Freire e Rua Augusto Miguel de Carvalho,Recreio dos Bandeirantes,7,Espaço de Desenvolvimento Infantil - EDI,,,{B8E534E3-7A86-431C-B9DE-99B0B2974343},30/12/2011 22:00,724.801,EDI Milena Santos Nascimento,7.28
